SUM(op.payment_value),year_,month_
75.05999755859375,2016,9
7411.96995139122,2016,10
18830.040060043335,2017,1
37018.889994084835,2017,2
66065.44032239914,2017,3
45209.6698846817,2017,4
106097.34021306038,2017,5
77800.15036451817,2017,6
91698.94982227683,2017,7
123960.23000949435,2017,8
155394.77006435394,2017,9
181649.33957494237,2017,10
204271.68974371254,2017,11
117743.02959984541,2017,12
192290.02925130725,2018,1
251974.24800109863,2018,2
202889.17956119776,2018,3
157917.16009134054,2018,4
164686.27936029434,2018,5
142525.57967817783,2018,6
121742.31957364082,2018,7
152105.0404536724,2018,8
